Ecuador,ECU,10449837,12626507,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000,18190484
"Egypt, Arab Rep.",EGY,57214630,71371371,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,112716598
El Salvador,SLV,5367179,5958482,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392,6364943
Equatorial Guinea,GNQ,465549,684977,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908,1714671
Eritrea,ERI,2149960,2392880,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032,3748901
Estonia,EST,1569174,1396985,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1366188
Eswatini,SWZ,854011,1030496,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670,1210822
Ethiopia,ETH,47878073,67031867,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924,126527060
Faroe Islands,FRO,47479,45660,48465,48816,49500,50230,50955,51681,52415,52889,53090,53270
Fiji,FJI,780430,832509,915560,917200,918371,919019,918996,918465,920422,924610,929766,936375
Finland,FIN,4986431,5176209,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5584264
France,FRA,58044701,60921384,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,68170228
French Polynesia,PYF,211089,250927,289873,291787,293541,295450,297606,299717,301920,304032,306279,308872
Gabon,GAB,983028,1272935,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992,2436566
"Gambia, The",GMB,1040616,1437539,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992,2773168
Georgia,GEO,4802000,4077131,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3760365
Germany,DEU,79433029,82211508,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,84482267
Ghana,GHA,15446982,19665502,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870,34121985
Gibraltar,GIB,27317,27741,32452,32520,32565,32602,32648,32685,32709,32669,32649,32688
Greece,GRC,10196792,10805808,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919,10361295
Greenland,GRL,55600,56200,56295,56114,56186,56172,56023,56225,56367,56653,56661,56865
Grenada,GRD,99047,107432,117972,118980,119966,120921,121838,122724,123663,124610,125438,126183
